ID,EnglishNames,Countries,CountryCode,Endangerment,No,Latitude,Longitude
1022,South Italian,Italy,ITA,Vulnerable,7500000,40.9798,15.249
1023,Sicilian,Italy,ITA,Vulnerable,5000000,37.4399,14.5019
383,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS",Vulnerable,4800000,53.4029,10.3601
335,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",Vulnerable,4000000,53.956,27.5756
382,Lombard,"Italy, Switzerland","ITA, CHE",Definitely endangered,3500000,45.7215,9.3273
405,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE",Definitely endangered,3500000,46.3165,22.3681
2211,Yiddish (Israel),Israel,ISR,Definitely endangered,3000000,32.0833,34.8333
1586,Gondi,India,IND,Vulnerable,2713790,19.5804,80.4418
1020,Limburgian-Ripuarian,"Germany, Belgium, Netherlands","DEU, BEL, NLD",Vulnerable,2600000,50.7781,6.0864
1943,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,Vulnerable,2300000,-18.0675,-65.7641
1565,Kumaoni,"India, Nepal","IND, NPL",Vulnerable,2003783,29.4778,79.8486
755,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER",Vulnerable,2000000,-16.5835,-68.302
349,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",Definitely endangered,2000000,44.127,12.0739
399,Piedmontese,Italy,ITA,Definitely endangered,2000000,45.2013,7.8662
1021,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",Vulnerable,2000000,45.4601,12.1948
1985,Zazaki,Turkey,TUR,Vulnerable,2000000,38.8824,40.4846
1591,Kurux (India),India,IND,Vulnerable,1751489,22.1467,85.2758
2065,Tamajeq,Niger,NER,Vulnerable,1750000,17.2352,8.0859
1585,Tulu,India,IND,Vulnerable,1722768,12.0178,75.7067
1556,Kangdi,India,IND,Definitely endangered,1700000,32.4356,76.1242
410,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,1500000,56.2189,-3.7683
1026,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB",Vulnerable,1500000,42.9644,22.1374
1476,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD",Vulnerable,1500000,51.0275,3.0541
334,Bashkir,Russian Federation,RUS,Vulnerable,1379727,54.7309,55.9863
1067,Chechen,Russian Federation,RUS,Vulnerable,1331844,43.1971,45.7031
338,Chuvash,Russian Federation,RUS,Vulnerable,1325382,56.1394,47.2412
1227,Meithei,India,IND,Vulnerable,1250000,24.7667,93.8946
1114,Tamang,"India, Nepal","IND, NPL",Vulnerable,1196639,27.7365,85.6858
1013,Quechua of Cuzco,Peru,PER,Vulnerable,1115000,-13.4537,-72.0098
