MV	INDUS	NOX	RM	TAX	PT	LSTAT
24	2.31	53.8	6.575	296	15.3	4.98
21.6	7.07	46.9	6.421	242	17.8	9.14
34.7	7.07	46.9	7.185	242	17.8	4.03
33.4	2.18	45.8	6.998	222	18.7	2.94
36.2	2.18	45.8	7.147	222	18.7	5.33
28.7	2.18	45.8	6.43	222	18.7	5.21
22.9	7.87	52.4	6.012	311	15.2	12.43
27.1	7.87	52.4	6.172	311	15.2	19.15
16.5	7.87	52.4	5.631	311	15.2	29.93
18.9	7.87	52.4	6.004	311	15.2	17.1
15	7.87	52.4	6.377	311	15.2	20.45
18.9	7.87	52.4	6.009	311	15.2	13.27
21.7	7.87	52.4	5.889	311	15.2	15.71
20.4	8.14	53.8	5.949	307	21	8.26
18.2	8.14	53.8	6.096	307	21	10.26
19.9	8.14	53.8	5.834	307	21	8.47
23.1	8.14	53.8	5.935	307	21	6.58
17.5	8.14	53.8	5.99	307	21	14.67
20.2	8.14	53.8	5.456	307	21	11.69
18.2	8.14	53.8	5.727	307	21	11.28
13.6	8.14	53.8	5.57	307	21	21.02
19.6	8.14	53.8	5.965	307	21	13.83
15.2	8.14	53.8	6.142	307	21	18.72
14.5	8.14	53.8	5.813	307	21	19.88
15.6	8.14	53.8	5.924	307	21	16.3
13.9	8.14	53.8	5.599	307	21	16.51
16.6	8.14	53.8	5.813	307	21	14.81
14.8	8.14	53.8	6.047	307	21	17.28
18.4	8.14	53.8	6.495	307	21	12.8
21	8.14	53.8	6.674	307	21	11.98
12.7	8.14	53.8	5.713	307	21	22.6
14.5	8.14	53.8	6.072	307	21	13.04
13.2	8.14	53.8	5.95	307	21	27.71
13.1	8.14	53.8	5.701	307	21	18.35
13.5	8.14	53.8	6.096	307	21	20.34
18.9	5.96	49.9	5.933	279	19.2	9.68
20	5.96	49.9	5.841	279	19.2	11.41
21	5.96	49.9	5.85	279	19.2	8.77
24.7	5.96	49.9	5.966	279	19.2	10.13
30.8	2.95	42.8	6.595	252	18.3	4.32
34.9	2.95	42.8	7.024	252	18.3	1.98
26.6	6.91	44.8	6.77	233	17.9	4.84
25.3	6.91	44.8	6.169	233	17.9	5.81
24.7	6.91	44.8	6.211	233	17.9	7.44
21.2	6.91	44.8	6.069	233	17.9	9.55
19.3	6.91	44.8	5.682	233	17.9	10.21
